District,Chiefdom,Name of PHU,Community,School Name,School Enrollment,EMIS Number,School Status
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,544,9999-9-99999,Old
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),BAHRU DEEN ISLAMIC ORGANIZATION,148,9999-9-99999,Old
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),FATIMA EL-ZAHRAH PRIMARY SCHOOL,76,9999-9-99999,Old
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,222,9999-9-99999,Old
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),AL-QUDUS ISLAMIC PRIMARY SCHOOL,590,9999-9-99999,Old
PUJEHUN,MAKPELE,Gissiwolo MCHP,DARE-SALAM (MAKPELE),AHMADIYYA MUSLIM PRIMARY SCHOOL,218,9999-9-99999,Old
PUJEHUN,MAKPELE,Gissiwolo MCHP,GISSIWULO (MAKPELE),AL-QUDUS ISLAMIC PRIMARY SCHOOL,307,9999-9-99999,Old
PUJEHUN,MAKPELE,Gissiwolo MCHP,GISSIWULO (MAKPELE),AHMADIYYA MUSLIM PRIMARY SCHOOL,366,9999-9-99999,Old
PUJEHUN,MAKPELE,Gissiwolo MCHP,NJALUAHUN (MAKPELE),AL-QUDUS ISLAMIC PRIMARY SCHOOL,152,9999-9-99999,Old
PUJEHUN,MAKPELE,Gbaa CHP,GBAA (MAKPELE),AHMADIYYA MUSLIM PRIMARY SCHOOL,394,9999-9-99999,Old
PUJEHUN,MAKPELE,Gbaa CHP,GBAA (MAKPELE),AL-QUDUS ISLAMIC PRIMARY SCHOOL,289,9999-9-99999,Old
PUJEHUN,MAKPELE,Dumangbe MCHP,DUMANGBE (MAKPELE),NATIONAL ISALIMIC PRIMARY SCHOOL,290,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,KENEMA SORO (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,237,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,TUASU (MAKPELE),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,412,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,GOFOR (MAKPELE),AL-QUDUS ISLAMIC PRIMARY,403,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,GOFOR (MAKPELE),ROMAN CATHOLIC PRIMARY SCHOOL,286,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,GAIMA 1-2 (SORO GBEMA),SIERRA LEONE YOUTH MUSLIM MOVEMENT PRIMARY SCHOOL,200,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,GONORHUN (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,321,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,LEVUMA (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,330,9999-9-99999,Old
PUJEHUN,MAKPELE,Gofor CHP,TOKORMA (MAKPELE),NATIONAL ISALIMIC PRIMARY SCHOOL,304,9999-9-99999,Old
PUJEHUN,MAKPELE,Peiwa MCHP,PEWA (MAKPELE),NATIONAL ISALIMIC PRIMARY SCHOOL,175,9999-9-99999,Old
PUJEHUN,MAKPELE,Gbahama MCHP,GBAHAMA (MAKPELE),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,326,9999-9-99999,Old
PUJEHUN,MAKPELE,Ndombu MCHP,NDOMBU (MAKPELE),AL-FATTAH ISLAMIC PRIMARY SCHOOL,168,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Nyandehun (MSK) MCHP,NYADEHUN (MANO SAKRIM),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,143,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Nyandehun (MSK) MCHP,GBOMUKOR (MANO SAKRIM),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,185,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Nyandehun (MSK) MCHP,BELEBU (KPAKA),NATIONAL ISALIMIC PRIMARY SCHOOL,161,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Kassay MCHP,KASSAY (MANO SAKRIM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,234,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Kassay MCHP,MOSSINEH (MANO SAKRIM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,214,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Bengani MCHP,BENGANI (MANO SAKRIM),ROMAN CATHOLIC PRIMARY SCHOOL,308,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Gombu MCHP,KAKAMA (MANO SAKRIM),COMMUNITY PRIMARY SCHOOL,152,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Mano CHC,MANO GBONJEIMA (MANO SAKRIM),SIERRA LEONE CHURCH PRIMARY SCHOOL,273,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Sumbuya bessima CHP,BOPANI (MANO SAKRIM),SIERRA LEONE CHURCH PRIMARY SCHOOL,179,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Sebengu MCHP,Sebengu,Sebengu Community Primary School,73,9999-9-99999,Old
PUJEHUN,MANO SAKRIM,Mende MCHP,KOINDU (KPAKA),KOINDU COMMUNITY PRIMARY SCHOOL,255,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Stati CHC,PUJEHUN TOWN (PANGA),AHMADIYYA MUSLIM PRIMARY SCHOOL,248,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,450,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,183,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),NATIONAL ISALIMIC PRIMARY SCHOOL,307,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),HOLY ROSARY PRIMARY SCHOOL,371,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),EVERY NATION PRIMARY SCHOOL,330,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),ANSARUL ISLAMIC PRIMARY SCHOOL,274,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static CHC,PUJEHUN TOWN (PANGA),UNITED BRETHEN IN CHRIST PRIMARY SCHOOL,124,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,158,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),WESLEY UNITED METHODIST CHURCH PRIMARY SCHOOL,210,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,365,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,PUJEHUN TOWN (PANGA),SAM S. ABU MEMORIAL PRIMARY SCHOOL PUJEHUN,137,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static CHC,PUJEHUN TOWN (PANGA),QURANIC PRIMARY SCHOOL,194,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static MCHP,BENGA (PANGA),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,178,9999-9-99999,Old
PUJEHUN,KPANGA,MCH Static CHC,PUJEHUN TOWN (PANGA),ROMAN CATHOLIC PRIMARY SCHOOL BOYS,317,9999-9-99999,Old
PUJEHUN,KPANGA,Taninahun Makemuma MCHP,TANINAHUN (PANGA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,191,9999-9-99999,Old
PUJEHUN,KPANGA,Taninahun Makemuma MCHP,NGELIHUN SAMBA (PANGA),ROMAN CATHOLIC PRIMARY SCHOOL,286,9999-9-99999,Old
PUJEHUN,KPANGA,Taninahun Makemuma MCHP,FULAWAHUN (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,194,9999-9-99999,Old
PUJEHUN,PANGA,Sorbeh Grima MCHP,GOMBAHUN (PANGA),LIFE OF LIGHT PRIMARY SCHOOL,115,9999-9-99999,Old
PUJEHUN,PANGA,Sorbeh Grima MCHP,SORBEH GRIMA (PANGA),ROMAN CATHOLIC PRIMARY SCHOOL,325,9999-9-99999,Old
PUJEHUN,PANGA,Sorbeh Grima MCHP,MOKENGIE (PANGA),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,332,9999-9-99999,Old
PUJEHUN,PANGA,Sorbeh Grima MCHP,TANINAHUN PESSEH,PUJEHUN DISTRICT EDUCATION COMMITTEE SCHOOL,150,9999-9-99999,Old
PUJEHUN,PANGA,Dandabu CHP,DANDABU (PANGA),ROMAN CATHOLIC PRIMARY SCHOOL,367,9999-9-99999,Old
PUJEHUN,PANGA,Dandabu CHP,SERABU (PANGA),SAINT PAUL'S ROMAN CATHOLIC PRIMARY SCHOOL,337,9999-9-99999,Old
PUJEHUN,PANGA,Dandabu CHP,DANDABU (PANGA),NATIONAL ISLAMIC PRIMARY SCHOOL,409,9999-9-99999,Old
PUJEHUN,PANGA,Gbondapi CHC,GBONDAPI (PANGA),SIERRA LEONE YOUTH MUSLIM MOVEMENT PRIMARY SCHOOL,193,9999-9-99999,Old
PUJEHUN,PANGA,Gbondapi CHC,BATAHOL (PANGA),BATHAI PRIMARY SCHOOL,188,9999-9-99999,Old
PUJEHUN,PANGA,Gbondapi CHC,BANDAKOR (PANGA),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,172,9999-9-99999,Old
PUJEHUN,PANGA,Gbondapi CHC,NAJAY (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,262,9999-9-99999,Old
PUJEHUN,PANGA,Gbondapi CHC,GBONDAPI (PANGA),ROMAN CATHOLIC PRIMARY SCHOOL,299,9999-9-99999,Old
PUJEHUN,KPANGA,Gibina MCHP,GIBINA (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,29,9999-9-99999,Old
PUJEHUN,KPANGA,Gibina MCHP,YIKANDOR (PANGA),BAHAI PRIMARY SCHOOL,285,9999-9-99999,Old
PUJEHUN,KPANGA,Salima MCHP,SALEMA (PANGA),ROMAN CATHOLIC PRIMARY SCHOOL,473,9999-9-99999,Old
PUJEHUN,KPANGA,Salima MCHP,GONDAMA (PANGA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,194,9999-9-99999,Old
PUJEHUN,KPANGA,Salima MCHP,LUGOIMA (PANGA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,187,9999-9-99999,Old
PUJEHUN,KPANGA,Salima MCHP,Bakar,PDEC Bakar Bakoi,169,9999-9-99999,Old
PUJEHUN,PANGA,Mandeima MCHP,MANDEIMA (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,260,9999-9-99999,Old
PUJEHUN,PANGA,Mandeima MCHP,GANGAMA (PANGA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,272,9999-9-99999,Old
PUJEHUN,PANGA,Mandeima MCHP,BANDALAHUN (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,175,9999-9-99999,Old
PUJEHUN,PANGA,Mandeima MCHP,KONGO (PANGA),SIERRA LEONE YOUTH MUSLIM MOVEMENT PRIMARY SCHOOL,180,9999-9-99999,Old
PUJEHUN,PANGA,Bomu MCHP,BOMU SAMBA (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,307,9999-9-99999,Old
PUJEHUN,PANGA,Bomu MCHP,DIAMEI (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,383,9999-9-99999,Old
PUJEHUN,PANGA,Bomu MCHP,MATPEMA (KPAKA),SIERRA LEONE CHURCH PRIMARY SCHOOL,325,9999-9-99999,Old
PUJEHUN,PANGA,Bassalleh MCHP,MASSAM WA (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,311,9999-9-99999,Old
PUJEHUN,PANGA,Bassalleh MCHP,BASSALEH (PANGA),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,138,9999-9-99999,Old
PUJEHUN,YAKEMU KPUKUMU,Bassalleh MCHP,JABAMA FORTUNE (YKK),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,140,9999-9-99999,Old
PUJEHUN,PANGA,Sawula MCHP,SAWULA (PANGA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,218,9999-9-99999,Old
PUJEHUN,PANGA,Tongay MCHP,NIAGOREHUN (PANGA),"LIFE OF LIGHTY PRIMARY SCHOOL, NIAGOREHUN",95,9999-9-99999,Old
PUJEHUN,PANGA,Tongay MCHP,TONGAY (PANGA),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,160,9999-9-99999,Old
PUJEHUN,PANGA,Blama Puila MCHP,BLAMA PULLA (PANGA),ROMAN CATHOLIC PRIMARY SCHOOL,169,9999-9-99999,Old
PUJEHUN,PANGA,Vawahun Kayimba MCHP,VAWAHUN (PANGA),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,228,9999-9-99999,Old
PUJEHUN,PANGA,Vawahun Kayimba MCHP,GRIEMA (KPAKA),ANSARUL ISLAMIC PRIMARYU SCHOOL,182,9999-9-99999,Old
PUJEHUN,PANGA,Vawahun Kayimba MCHP,LOTTU (KPAKA),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,255,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Bayama MCHP,WOMBAY (PANGA KRIM),DAVID MS LAHAI AND BERNADETTE L LAHAI MEMORIAL SCHOOL,227,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Bayama MCHP,BAYAMA (PANGA KRIM),SIERRA LEONE CHURCH PRIMARY SCHOOL,193,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Bayama MCHP,YAWEI (PANGA),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,140,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Borborbu MCHP,WALIMA (PANGA KRIM),SIERRA LEONE CHURCH PRIMARY SCHOOL,158,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Borborbu MCHP,BORBORBU (PANGA KRIM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,210,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Gobaru CHC,GOBARU (PANGA KRIM),SIERRA LEONE CHURCH PRIMARY SCHOOL,267,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Gobaru CHC,YONNI TOWN (PANGA),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,255,9999-9-99999,Old
PUJEHUN,KPANGA KRIM,Gobaru CHC,YONNI TOWN (PANGA),SAINT PATRICK'S PRIMARY SCHOOL,267,9999-9-99999,Old
PUJEHUN,PANGA KRIM,Vaama (Krim) MCHP,VAAMA,ROMAN CATHOLIC PRIMARY SCHOOL,202,9999-9-99999,Old
PUJEHUN,PANGA KRIM,Vaama (Krim) MCHP,GANDORHUN (PANGA KRIM),SIERRA LEONE CHURCH PRIMARY SCHOOL,185,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Bongay MCHP,GBONGAY (PEJEH (FUTA PEJE)),AHMADIYYA MUSLIM PRIMARY SCHOOL,238,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Bongay MCHP,NJAGBEMA (PEJEH (FUTA PEJE)),AHMADIYYA MUSLIM PRIMARY SCHOOL,153,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Bongay MCHP,GBONGAY (PEJEH (FUTA PEJE)),SIERRA LEONE CHURCH PRIMARY SCHOOL,222,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Bumbeh MCHP,KOMENDE (PEJEH (FUTA PEJE)),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,176,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Bumbeh MCHP,BLAMA GIYAH (PEJEH (FUTA PEJE)),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,228,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Bumbeh MCHP,BUMBEH (PEJEH (FUTA PEJE)),ROMAN CATHOLIC PRIMARY SCHOOL,187,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Futa CHC,MASSA (PEJEH (FUTA PEJE)),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,445,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Futa CHC,KOIVA (PEJEH (FUTA PEJE)),SIERRA LEONE CHURCH PRIMARY SCHOOL,266,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Futa CHC,KOIVA (PEJEH (FUTA PEJE)),NATIONAL ISALIMIC PRIMARY SCHOOL,259,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Futa CHC,FUTA (PEJEH (FUTA PEJE)),ROMAN CATHOLIC PRIMARY SCHOOL,403,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Pejewa MCHP,PEJEWA (PEJEH (FUTA PEJE)),ROMAN CATHOLIC PRIMARY SCHOOL,275,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Pejewa MCHP,PEJEWA (PEJEH (FUTA PEJE)),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,174,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Helebu MCHP,HELEBU (PEJEH (FUTA PEJE)),SIERRA LEONE CHURCH PRIMARY SCHOOL,300,9999-9-99999,Old
PUJEHUN,PEJEH (FUTA PEJE),Helebu MCHP,LEIN (PEJEH (FUTA PEJE)),SIERRA LEONE CHURCH PRIMARY SCHOOL,162,9999-9-99999,Old
PUJEHUN,PERRI,Blama Perri MCHP,NGOLAHUN PERI (PERRI),NATIONAL ISALIMIC PRIMARY SCHOOL,124,9999-9-99999,Old
PUJEHUN,PERRI,Blama Perri MCHP,BO-PERI (PERRI),TATO PRIMARY SCHOOL BLAMA PERRI,69,9999-9-99999,Old
PUJEHUN,PERRI,Blama Perri MCHP,BO-PERI (PERRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,161,9999-9-99999,Old
PUJEHUN,PERRI,Blama Perri MCHP,MATEGBEMA (PERRI),NATIONAL ISALIMIC PRIMARY SCHOOL,263,9999-9-99999,Old
PUJEHUN,PERRI,Bomi MCHP,NJALA (PERRI),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,224,9999-9-99999,Old
PUJEHUN,PERRI,Bomi MCHP,TEIKPAI (PERRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,129,9999-9-99999,Old
PUJEHUN,PERRI,Bomi MCHP,BOMI (PERRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,273,9999-9-99999,Old
PUJEHUN,PERRI,Bumpeh CHC,SUAWOH (PERRI),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,266,9999-9-99999,Old
PUJEHUN,PERRI,Bumpeh CHC,GBANAHUN (PERRI),NATIONAL ISALIMIC PRIMARY SCHOOL,153,9999-9-99999,Old
PUJEHUN,PERRI,Bumpeh CHC,BAOMA (PERRI),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,215,9999-9-99999,Old
PUJEHUN,PERRI,Kowama MCHP,KOWAMA (PERRI),SAINT ANTHONY'S ROMAN CATHOLIC PRIMARY SCHOOL,181,9999-9-99999,Old
PUJEHUN,PERRI,Kowama MCHP,SARGUEHUN (PERRI),SAINT ANTHONY'S ROMAN CATHOLIC PRIMARY SCHOOL,175,9999-9-99999,Old
PUJEHUN,PERRI,Kowama MCHP,SEMBEHUN (PANGA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,177,9999-9-99999,Old
PUJEHUN,PERRI,Saama Perri MCHP,SAAMA (PERRI),ROMAN CATHOLIC PRIMARY SCHOOL,210,9999-9-99999,Old
PUJEHUN,PERRI,Saama Perri MCHP,BOPON (PERRI),ANSARUL ISLAMIC PRIMARY,255,9999-9-99999,Old
PUJEHUN,PERRI,Falaba CHP,FONDUE PERRI (PERRI),SIERRA LEONE CHURCH PRIMARY SCHOOL,220,9999-9-99999,Old
PUJEHUN,PERRI,Falaba CHP,FALABA (PERRI),SAINT EDWARD'S ROMAN CATHOLIC PRIMARY SCHOOL,194,9999-9-99999,Old
PUJEHUN,GALLINESS,Bandama MCHP,NYEYAMA (PERRI),UNITED MUSLIM ASSOCIATION PRIMARY SCHOOL,110,9999-9-99999,Old
PUJEHUN,PERRI,Ngajubaoma Missibu MCHP,NGAJUBAOMA MISSIBU (PERRI),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,150,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Malema 2 MCHP,MALEMA 2 (SORO GBEMA),NATIONAL ISALIMIC PRIMARY SCHOOL,10,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Malema 2 MCHP,HEGBEIMA (SORO GBEMA),NATIONAL ISLAMIC MISSION PRIMARY,293,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Malema 2 MCHP,MACCA SORO (SORO GBEMA),NATIONAL ISLAMIC MISSION PRIMARY SCHOOL,275,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Malema 2 MCHP,GBAAMA (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,319,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Fairo CHC,SURMU (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,358,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Fairo CHC,NGEIMA (SORO GBEMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,173,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Fairo CHC,FAIRO (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,196,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Fairo CHC,FAIRO (SORO GBEMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,431,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Sulima CHP,SULIMA (SORO GBEMA),SIERRA LEONE YOUTH MUSLIM MOVEMENT PRIMARY SCHOOL,200,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Sulima CHP,MAINA (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,277,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Sulima CHP,JURING (SORO GBEMA),SIERRA LEONE CHURCH PRIMARY SCHOOL,207,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Sulima CHP,SULIMA (SORO GBEMA),ROMAN CATHOLIC PRIMARY SCHOOL,310,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Fanima CHP,SIMBARU (SORO GBEMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,195,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Fanima CHP,GOLAWAHUN (SORO GBEMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,205,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Fanima CHP,FANIMA (SORO GBEMA),NATIONAL ISALIMIC PRIMARY SCHOOL,150,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Jendema CHC,GOHN (SORO GBEMA),SIERRA LEONE YOUTH MUSLIM MOVEMENT PRIMARY SCHOOL,265,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Jendema CHC,JENDEMA (SORO GBEMA),ROMAN CATHOLIC PRIMARY SCHOOL,351,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Jendema CHC,JENDEMA (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,435,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Jendema CHC,MALOME (SORO GBEMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,168,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Jendema CHC,GOHN (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,201,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Jendema CHC,JENDEMA (SORO GBEMA),SIERRA LEONE YOUTH MUSLIM MOVEMENT PRIMARY SCHOOL,449,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Tindor MCHP,SINNI (SORO GBEMA),SIERRA LEONE YOUTH MUSLIM MOVEMENT PRIMARY SCHOOL,192,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Tindor MCHP,TINDOR (SORO GBEMA),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,283,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Navai MCHP,PELEWAHUN (SORO GBEMA),NATIONAL ISALIMIC PRIMARY SCHOOL,206,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Navai MCHP,NAVAI (SORO GBEMA),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,183,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Wai MCHP,KULAKOR (SORO GBEMA),COMMUNITY PRIMARY SCHOOL,300,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Wai MCHP,JEMBEH (SORO GBEMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,265,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Wai MCHP,WAI (SORO GBEMA),ROMAN CATHOLIC PRIMARY SCHOOL,243,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Futagolawoma MCHP,VORKOMA (SORO GBEMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,130,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Futagolawoma MCHP,GIBINA (SORO GBEMA),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,233,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Futagolawoma MCHP,FUTA GOLAWOMA (SORO GBEMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,290,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Koijeh MCHP,KOIJEH (SORO GBEMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,308,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Koijeh MCHP,MANO KPEDEH (SORO GBEMA),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,372,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Malema 1 MCHP,MALEMA (SORO GBEMA),ROMAN CATHOLIC PRIMARY SCHOOL,445,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Gondama MCHP,GIJAMA (SORO GBEMA),AHMADIYYA MUSLIM PRIMARY SCHOOL,324,9999-9-99999,Old
PUJEHUN,SORO GBEMA,Sengama MCHP,SENGAMA (SORO GBEMA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,346,9999-9-99999,Old
PUJEHUN,SOROGBEMA,Jendema CHC,JENDEMA (SORO GBEMA),Pentecostal Primary School (New ),370,9999-9-99999,Old
